reviewer,projects_nbr,rev_status
17488,4,Non core
17489,1,Non core
17491,35,Non core
17499,302,Non core
17503,5,Non core
17505,12,Core
17506,1,Non core
17510,1,Non core
17511,3,Non core
17517,13,Non core
17519,1,Non core
17523,5,Non core
17525,1,Non core
17527,4,Non core
17532,1,Non core
17535,1,Non core
17536,3,Non core
17540,2,Non core
17549,12,Non core
17550,1,Non core
17551,3,Non core
17553,2,Non core
17555,5,Non core
17556,17,Core
17558,6,Core
17559,2,Non core
17564,3,Non core
17565,3,Non core
17566,3,Core
17570,4,Non core
17571,1,Non core
17579,11,Non core
17583,2,Non core
17588,15,Non core
17589,44,Non core
17591,61,Core
17592,3,Non core
17593,1,Non core
17595,1,Non core
17599,4,Non core
17609,9,Non core
17620,1,Non core
17626,6,Non core
17627,2,Non core
17628,1,Non core
17630,2,Non core
17637,1,Non core
17638,4,Non core
17639,11,Non core
17640,1,Non core
17641,3,Non core
17642,8,Non core
17643,7,Non core
17645,56,Non core
17646,1,Non core
17654,3,Non core
17656,13,Non core
17659,2,Non core
17660,1,Non core
17667,2,Non core
17669,37,Core
17671,6,Non core
17681,1,Non core
17682,1,Non core
17685,212,Non core
17686,4,Non core
17688,1,Non core
17699,4,Non core
17700,3,Non core
17705,2,Non core
17709,7,Core
17710,2,Non core
17711,25,Non core
17714,8,Non core
17716,24,Non core
17717,3,Non core
17718,4,Non core
17720,2,Non core
17722,10,Non core
17728,1,Non core
17730,12,Non core
17731,1,Non core
17734,7,Non core
17735,3,Non core
17736,1,Core
17737,15,Non core
17739,1,Non core
17741,1,Non core
17742,6,Non core
17746,1,Non core
17747,5,Non core
17752,2,Non core
17753,3,Non core
17754,5,Non core
17755,1,Non core
17765,38,Core
17768,2,Non core
17771,3,Non core
17775,1,Non core
17776,123,Non core
17780,14,Non core
17782,5,Non core
17784,10,Core
17787,1,Non core
17788,3,Non core
17789,31,Non core
17791,1,Non core
17795,13,Non core
17796,2,Non core
17799,82,Core
17800,1,Non core
17812,8,Non core
17813,14,Core
17814,10,Non core
17815,1,Non core
17818,1,Non core
17821,8,Non core
17822,1,Non core
17823,25,Non core
17826,1,Non core
17828,1,Non core
17832,9,Non core
17836,3,Non core
17842,14,Non core
17843,6,Non core
17844,3,Non core
17845,5,Non core
17846,8,Non core
17848,6,Non core
17850,3,Non core
17854,3,Non core
17858,3,Non core
17860,27,Non core
17861,6,Non core
17862,8,Non core
17863,2,Non core
17866,1,Non core
17869,3,Non core
17874,2,Non core
17876,2,Non core
17877,3,Non core
17880,9,Core
17881,3,Non core
17883,1,Non core
17884,2,Non core
17885,1,Non core
17886,2,Non core
17887,16,Non core
17888,21,Non core
17893,35,Core
17896,15,Core
17897,2,Non core
17898,6,Non core
17899,1,Non core
17900,2,Non core
17901,2,Non core
17904,7,Non core
17907,4,Non core
17909,1,Non core
17920,16,Non core
17922,13,Non core
17924,5,Non core
17927,4,Non core
17934,1,Non core
17938,2,Non core
17940,1,Non core
17943,1,Non core
17947,3,Non core
17948,1,Non core
17950,1,Non core
17952,3,Non core
17953,2,Non core
17954,5,Non core
17958,6,Non core
17959,2,Non core
17960,2,Non core
17963,1,Non core
17966,8,Non core
17969,1,Non core
17973,10,Non core
17976,5,Non core
17981,6,Non core
17987,2,Non core
17988,2,Non core
17989,1,Non core
17990,3,Non core
17993,2,Non core
17995,4,Non core
18001,2,Non core
18002,44,Non core
18005,6,Non core
18008,4,Non core
18009,19,Non core
18010,1,Non core
18013,1,Non core
18014,2,Core
18015,6,Non core
18019,1,Non core
18020,1,Non core
18023,2,Non core
18026,4,Non core
18028,3,Non core
18031,6,Non core
18034,1,Non core
18044,1,Non core
18045,1,Non core
18050,1,Non core
18051,19,Non core
18058,12,Non core
18061,2,Non core
18063,5,Core
18064,1,Non core
18065,1,Non core
18073,1,Non core
18084,1,Non core
18085,8,Non core
18086,5,Non core
18087,1,Non core
18090,1,Non core
18092,14,Core
18094,1,Non core
18102,1,Non core
18108,5,Non core
18111,1,Non core
18115,3,Non core
18116,1,Non core
18117,4,Non core
18118,2,Non core
18128,1,Non core
18129,1,Non core
18137,20,Non core
18142,11,Non core
18152,5,Non core
18156,1,Non core
18157,1,Non core
18158,6,Non core
18160,1,Non core
18162,1,Non core
18170,3,Non core
18176,4,Non core
18177,1,Non core
18179,15,Non core
18180,5,Non core
18182,5,Non core
18186,6,Non core
18190,1,Non core
18191,3,Non core
18193,1,Non core
18199,4,Non core
18204,4,Non core
18205,24,Core
18206,2,Non core
18213,6,Non core
18217,1,Non core
18220,1,Non core
18222,1,Non core
18225,8,Non core
18235,1,Non core
18236,8,Non core
18238,29,Non core
18242,12,Core
18247,6,Non core
18250,14,Core
18254,1,Non core
18256,14,Non core
18258,5,Non core
18259,2,Non core
18261,4,Non core
18263,1,Non core
18265,20,Non core
18266,9,Non core
18272,1,Non core
18276,1,Non core
18279,44,Non core
18281,1,Non core
18282,1,Non core
18284,1,Non core
18286,15,Non core
18288,2,Non core
18289,5,Non core
18290,18,Non core
18295,3,Non core
18306,4,Non core
18311,1,Non core
18317,1,Non core
18320,40,Non core
18321,7,Non core
18323,3,Non core
18324,17,Non core
18325,1,Non core
18328,1,Non core
18332,29,Non core
18334,6,Non core
18335,5,Non core
18336,7,Non core
18337,7,Non core
18338,12,Non core
18339,5,Non core
18343,4,Non core
18345,1,Non core
18347,3,Non core
18350,1,Non core
18351,1,Non core
18352,2,Non core
18354,1,Non core
18358,3,Non core
18361,1,Non core
18364,1,Non core
18366,3,Non core
18368,8,Non core
18369,2,Non core
18372,1,Non core
18378,1,Non core
18384,1,Non core
18386,5,Non core
18389,10,Non core
18390,9,Non core
18399,3,Non core
18401,3,Non core
18404,4,Non core
18405,1,Non core
18406,1,Non core
18409,4,Non core
18414,5,Non core
18416,3,Non core
18418,21,Core
18425,1,Non core
18429,4,Non core
18436,5,Non core
18438,6,Non core
18439,1,Non core
18446,8,Core
18448,3,Non core
18452,4,Non core
18453,14,Non core
18455,13,Non core
18457,1,Non core
18460,9,Non core
18462,115,Core
18463,2,Non core
18464,14,Non core
18465,1,Non core
18466,17,Non core
18467,2,Non core
18476,6,Non core
18479,4,Non core
18480,4,Non core
18485,8,Non core
18494,9,Non core
18498,4,Non core
18503,2,Non core
18508,1,Non core
18511,32,Non core
18520,11,Non core
18523,2,Non core
18524,1,Non core
18526,1,Non core
18529,5,Non core
18531,1,Non core
18538,6,Non core
18540,4,Non core
18544,1,Non core
18545,1,Non core
18546,37,Non core
18549,5,Non core
18551,18,Non core
18552,15,Non core
18553,1,Non core
18573,19,Non core
18575,35,Non core
18577,1,Non core
18582,2,Non core
18588,1,Non core
18589,1,Non core
18591,20,Core
18593,1,Non core
18595,6,Non core
18596,1,Non core
18598,10,Non core
18600,15,Non core
18602,74,Non core
18603,23,Non core
18608,1,Non core
18609,2,Non core
18613,3,Non core
18623,5,Non core
18627,1,Non core
18639,2,Non core
18640,3,Non core
18641,1,Non core
18643,6,Non core
18644,1,Non core
18645,1,Non core
18647,2,Non core
18652,6,Non core
18653,30,Non core
18654,8,Non core
18655,1,Non core
18658,6,Non core
18665,9,Non core
18666,1,Non core
18668,2,Non core
18675,168,Non core
18677,3,Non core
18680,1,Non core
18683,7,Non core
18687,1,Non core
18688,1,Non core
18698,3,Non core
18699,2,Non core
18705,2,Non core
18712,1,Non core
18717,2,Non core
18718,1,Non core
18723,8,Non core
18728,1,Non core
18729,4,Core
18732,2,Non core
18736,3,Non core
18738,1,Non core
18740,1,Non core
18742,6,Non core
18743,1,Non core
18746,8,Non core
18747,5,Non core
18751,1,Non core
18755,2,Non core
18757,1,Non core
18763,1,Non core
18765,1,Non core
18766,6,Non core
18769,4,Non core
18777,26,Non core
18781,9,Non core
18783,10,Core
18784,55,Non core
18785,7,Non core
18788,1,Non core
18791,5,Non core
18792,1,Non core
18793,5,Non core
18795,63,Non core
18797,1,Non core
18802,7,Non core
18805,4,Non core
18808,6,Non core
18810,8,Non core
18811,1,Non core
18815,2,Non core
18816,9,Non core
18817,3,Non core
18821,1,Non core
18822,1,Non core
18827,1,Non core
18829,3,Non core
18834,2,Non core
18838,4,Non core
18841,1,Non core
18844,2,Non core
18845,6,Non core
18849,1,Non core
18851,24,Non core
18854,1,Non core
18855,3,Non core
18856,1,Non core
18857,1,Non core
18858,4,Non core
18876,2,Non core
18880,1,Non core
18882,1,Non core
18883,3,Non core
18886,1,Non core
18889,3,Non core
18893,42,Core
18894,13,Non core
18895,1,Non core
18896,2,Non core
18898,4,Non core
18903,5,Non core
18904,17,Non core
18905,1,Non core
18906,5,Non core
18908,1,Non core
18913,6,Non core
18916,6,Non core
18921,1,Non core
18926,1,Non core
18929,2,Non core
18930,2,Non core
18934,7,Non core
18936,2,Non core
18937,3,Non core
18938,1,Non core
18940,16,Non core
18941,2,Non core
18943,1,Non core
18944,1,Non core
18948,2,Non core
18955,122,Core
18961,2,Non core
18965,1,Non core
18967,7,Non core
18971,10,Core
18973,1,Non core
18978,1,Non core
18980,1,Non core
18981,1,Non core
18982,1,Non core
18985,1,Non core
18988,2,Non core
18992,1,Non core
18997,4,Non core
19004,4,Non core
19011,6,Core
19013,2,Non core
19014,1,Non core
19016,6,Non core
19017,5,Non core
19019,1,Non core
19021,3,Non core
19029,1,Non core
19042,1,Non core
19046,1,Non core
19048,3,Non core
19050,1,Non core
19051,2,Non core
19055,17,Core
19056,1,Non core
19064,3,Non core
19065,3,Non core
19066,1,Non core
19071,4,Non core
19072,10,Non core
19076,3,Non core
19077,1,Non core
19085,1,Non core
19086,1,Non core
19092,1,Non core
19098,3,Non core
19099,1,Non core
19112,1,Non core
19115,1,Non core
19118,13,Non core
19119,13,Core
19120,9,Non core
19122,9,Core
19124,4,Non core
19125,1,Non core
19129,3,Non core
19132,25,Non core
19133,6,Non core
19134,42,Core
19136,29,Non core
19137,26,Non core
19138,19,Non core
19140,4,Core
19142,2,Core
19145,1,Non core
19148,1,Non core
19151,4,Non core
19153,13,Non core
19156,6,Non core
19157,12,Core
19158,16,Core
19159,26,Core
19160,2,Non core
19173,16,Non core
19178,2,Non core
19181,3,Non core
19184,14,Core
19191,2,Non core
19193,24,Core
19194,6,Core
19195,1,Non core
19196,9,Non core
19199,5,Non core
19200,1,Non core
19203,1,Non core
19206,12,Non core
19209,3,Core
19210,2,Core
19212,2,Non core
19213,6,Non core
19214,3,Non core
19220,2,Non core
19222,2,Non core
19224,9,Non core
19226,8,Non core
19227,3,Non core
19228,6,Non core
19231,2,Non core
19232,7,Non core
19233,4,Core
19234,26,Non core
19236,1,Non core
19244,1,Non core
19254,1,Non core
19258,1,Non core
19262,12,Core
19265,7,Non core
19267,5,Non core
19269,3,Non core
19278,3,Non core
19282,4,Non core
19283,4,Non core
19284,2,Non core
19285,1,Non core
19286,1,Non core
19288,1,Non core
19290,8,Non core
19298,112,Core
19300,14,Non core
19303,4,Non core
19304,4,Non core
19307,20,Core
19309,2,Non core
19310,1,Non core
19312,3,Non core
19316,26,Non core
19318,2,Non core
19328,1,Non core
19331,1,Non core
19332,1,Non core
19333,1,Non core
19334,2,Non core
19339,93,Non core
19345,3,Non core
19346,8,Core
19348,4,Non core
19349,1,Non core
19350,3,Core
19354,1,Non core
19360,1,Non core
19361,3,Non core
19365,2,Non core
19366,1,Non core
19367,2,Non core
19370,7,Non core
19371,1,Non core
19372,10,Non core
19374,1,Non core
19378,6,Non core
19380,4,Core
19383,5,Non core
19384,9,Core
19385,2,Non core
19388,2,Core
19390,7,Non core
19391,8,Non core
19414,3,Non core
19416,1,Non core
19419,2,Non core
19429,1,Non core
19448,1,Non core
19450,2,Non core
19452,1,Non core
19453,1,Non core
19454,1,Non core
19457,52,Core
19460,1,Non core
19461,1,Core
19463,1,Non core
19465,1,Non core
19472,43,Non core
19473,1,Non core
19476,1,Non core
19477,1,Non core
19478,3,Non core
19485,1,Non core
19486,1,Non core
19489,2,Non core
19490,1,Non core
19494,12,Non core
19500,1,Non core
19519,4,Non core
19520,7,Non core
19521,10,Non core
19523,1,Non core
19526,1,Non core
19532,6,Non core
19536,5,Non core
19538,1,Non core
19539,2,Non core
19542,2,Non core
19546,3,Non core
19548,1,Non core
19554,125,Non core
19560,17,Non core
19561,6,Non core
19563,3,Non core
19564,11,Non core
19567,1,Non core
19573,2,Non core
19575,2,Non core
19576,1,Non core
19578,20,Non core
19581,1,Non core
19587,9,Non core
19590,8,Non core
19591,2,Non core
19592,6,Non core
19593,12,Non core
19594,8,Non core
19595,1,Non core
19601,1,Non core
19604,4,Non core
19606,1,Non core
19610,1,Non core
19611,12,Non core
19613,1,Non core
19619,10,Non core
19625,2,Non core
19637,2,Non core
19642,7,Non core
19644,13,Core
19645,3,Non core
19651,1,Non core
19653,2,Non core
19667,2,Non core
19669,1,Non core
19673,1,Non core
19674,3,Non core
19676,2,Non core
19677,2,Non core
19684,6,Non core
19686,18,Non core
19688,1,Non core
19690,3,Non core
19692,2,Non core
19701,6,Non core
19712,3,Non core
19714,1,Non core
19720,1,Non core
19722,1,Non core
19724,1,Core
19726,5,Non core
19731,2,Non core
19736,3,Non core
19737,7,Non core
19739,3,Non core
19740,14,Non core
19741,85,Non core
19743,4,Non core
19746,3,Non core
19755,2,Non core
19760,4,Non core
19761,2,Non core
19765,1,Non core
19766,4,Non core
19774,8,Non core
19776,2,Non core
19778,3,Non core
19779,85,Core
19780,1,Non core
19786,1,Non core
19790,12,Non core
19797,4,Non core
19798,2,Non core
19799,3,Non core
19805,5,Non core
19807,1,Non core
19810,1,Non core
19811,1,Non core
19814,62,Non core
19816,1,Non core
19840,6,Non core
19844,1,Non core
19845,4,Non core
19849,3,Non core
19851,1,Non core
19853,97,Non core
19856,1,Non core
19858,2,Non core
19861,12,Non core
19879,1,Non core
19884,4,Non core
19896,36,Non core
19897,1,Non core
19900,1,Non core
19901,15,Non core
19902,11,Non core
19904,4,Non core
19906,8,Non core
19910,2,Non core
19912,3,Non core
19919,3,Non core
19920,4,Non core
19921,8,Non core
19928,1,Non core
19930,112,Non core
19935,25,Non core
19937,4,Non core
19941,1,Non core
19944,6,Non core
19947,1,Non core
19948,7,Non core
19950,8,Non core
19951,2,Non core
19954,6,Non core
19955,2,Non core
19956,7,Non core
19960,2,Non core
19962,1,Non core
19963,3,Non core
19985,4,Non core
19990,9,Core
19991,3,Non core
19992,1,Non core
19999,12,Non core
20000,22,Non core
20001,1,Non core
20003,4,Non core
20004,2,Non core
20006,3,Non core
20007,2,Non core
20010,1,Non core
20015,1,Non core
20017,2,Non core
20028,2,Non core
20031,7,Non core
20033,22,Non core
20035,17,Non core
20037,8,Non core
20038,31,Core
20039,1,Non core
20040,1,Non core
20042,4,Non core
20050,1,Non core
20058,2,Non core
20060,2,Core
20066,32,Non core
20069,1,Non core
20070,1,Non core
20071,1,Non core
20076,9,Non core
20079,16,Non core
20082,10,Non core
20084,3,Non core
20089,3,Non core
20090,4,Non core
20095,8,Non core
20099,6,Non core
20100,5,Non core
20102,3,Non core
20104,18,Non core
20105,16,Non core
20106,7,Non core
20107,2,Non core
20108,1,Non core
20120,7,Non core
20123,7,Non core
20128,11,Non core
20129,3,Non core
20136,2,Non core
20137,3,Non core
20140,10,Non core
20145,1,Non core
20146,28,Non core
20147,27,Non core
20150,1,Non core
20153,1,Non core
20156,39,Non core
20158,5,Non core
20159,1,Non core
20160,10,Non core
20162,3,Non core
20163,4,Non core
20168,1,Non core
20171,9,Non core
20172,52,Core
20178,1,Non core
20180,2,Non core
20181,4,Non core
20182,40,Non core
20184,7,Non core
20186,1,Non core
20187,1,Non core
20188,1,Non core
20190,34,Core
20191,39,Non core
20194,15,Core
20195,15,Core
20196,2,Non core
20198,2,Non core
20205,4,Non core
20206,1,Non core
20207,1,Non core
20208,2,Non core
20212,1,Non core
20217,4,Non core
20218,1,Non core
20220,2,Non core
20223,9,Non core
20226,2,Non core
20227,9,Non core
20229,29,Core
20230,3,Non core
20244,1,Non core
20246,14,Non core
20250,1,Non core
20251,15,Non core
20252,4,Non core
20253,1,Non core
20254,14,Non core
20255,1,Non core
20256,23,Non core
20257,4,Non core
20258,1,Non core
20259,37,Non core
20261,1,Non core
20271,3,Non core
20276,2,Non core
20277,2,Non core
20279,2,Non core
20284,1,Non core
20287,1,Non core
20288,1,Non core
20291,1,Non core
20294,2,Non core
20297,2,Non core
20298,2,Non core
20299,1,Non core
20301,3,Non core
20309,1,Non core
20311,2,Non core
20312,12,Non core
20313,6,Non core
20316,13,Non core
20325,28,Non core
20327,2,Non core
20330,1,Non core
20336,2,Non core
20338,2,Non core
20340,2,Non core
20354,2,Non core
20361,2,Non core
20363,25,Non core
20364,6,Non core
20366,1,Non core
20369,8,Non core
20370,2,Non core
20372,6,Non core
20376,7,Non core
20378,36,Non core
20380,8,Non core
20382,27,Non core
20383,1,Non core
20384,14,Non core
20386,1,Non core
20395,6,Non core
20396,2,Non core
20401,28,Non core
20403,4,Non core
20405,2,Non core
20408,5,Non core
20411,10,Non core
20414,3,Non core
20425,1,Non core
20426,1,Non core
20428,2,Non core
20430,3,Non core
20434,2,Non core
20437,1,Non core
20439,1,Non core
20442,2,Non core
20443,19,Non core
20444,7,Non core
20446,5,Non core
20449,1,Non core
20450,1,Non core
20451,4,Non core
20453,3,Non core
20458,2,Non core
20462,7,Non core
20465,6,Non core
20466,62,Non core
20469,6,Non core
20472,1,Non core
20477,2,Non core
20479,5,Non core
20481,3,Non core
20488,3,Non core
20490,1,Non core
20498,42,Core
20506,3,Non core
20507,3,Non core
20508,11,Non core
20509,4,Non core
20513,1,Non core
20515,3,Non core
20516,1,Non core
20517,24,Non core
20519,7,Non core
20522,5,Non core
20523,45,Non core
20526,3,Non core
20530,1,Non core
20531,1,Non core
20535,1,Non core
20539,1,Non core
20541,15,Non core
20549,1,Non core
20553,3,Non core
20556,1,Non core
20559,9,Non core
20560,13,Non core
20563,17,Non core
20564,1,Non core
20566,19,Non core
20570,8,Non core
20571,1,Non core
20581,14,Non core
20592,1,Non core
20630,6,Non core
20632,1,Non core
20634,126,Non core
20635,115,Non core
20637,1,Non core
20638,5,Non core
20645,1,Non core
20661,4,Non core
20663,18,Non core
20667,5,Non core
20671,2,Non core
20672,1,Non core
20675,14,Non core
20676,42,Core
20680,1,Non core
20683,97,Non core
20686,10,Non core
20687,1,Non core
20690,1,Non core
20695,2,Non core
20699,3,Non core
20705,4,Non core
20710,1,Non core
20718,1,Non core
20721,7,Non core
20722,18,Non core
20733,39,Non core
20734,8,Non core
20746,2,Non core
20751,6,Non core
20752,1,Non core
20754,7,Non core
20761,5,Non core
20762,2,Non core
20764,8,Non core
20766,2,Non core
20768,7,Non core
20770,4,Core
20771,3,Non core
20772,11,Non core
20773,11,Non core
20775,55,Non core
20777,88,Non core
20778,25,Core
20782,1,Non core
20783,15,Non core
20787,10,Non core
20791,1,Non core
20797,8,Non core
20804,1,Non core
20805,107,Non core
20806,11,Non core
20809,2,Non core
20810,63,Non core
20811,16,Non core
20812,23,Non core
20813,29,Core
20814,1,Non core
20819,1,Non core
20824,1,Non core
20826,9,Non core
20828,1,Non core
20831,2,Non core
20835,75,Non core
20836,1,Non core
20839,2,Non core
20844,4,Non core
20854,2,Non core
20858,5,Non core
20861,1,Non core
20863,46,Non core
20864,22,Non core
20865,3,Non core
20866,16,Non core
20867,1,Non core
20868,44,Non core
20870,115,Non core
20872,1,Non core
20873,18,Non core
20883,25,Core
20887,1,Non core
20888,1,Non core
20889,7,Non core
20902,8,Core
20905,2,Non core
20910,6,Non core
20914,1,Non core
20916,1,Non core
20928,1,Non core
20933,5,Non core
20936,18,Core
20944,1,Non core
20949,6,Non core
20951,1,Non core
20952,1,Non core
20954,2,Non core
20955,1,Non core
20960,1,Non core
20962,1,Non core
20963,1,Non core
20965,1,Non core
20969,1,Non core
20970,24,Core
20971,10,Non core
20975,1,Non core
20981,1,Non core
20986,5,Non core
20987,1,Non core
20990,22,Non core
20991,64,Non core
20992,26,Non core
20993,129,Non core
20995,20,Non core
20996,152,Non core
20997,47,Non core
20998,20,Non core
21004,5,Non core
21006,3,Non core
21007,1,Non core
21012,1,Non core
21013,19,Non core
21020,10,Non core
21023,2,Non core
21027,17,Non core
21030,1,Non core
21031,3,Non core
21032,8,Non core
21033,1,Non core
21040,3,Non core
21041,6,Non core
21045,1,Non core
21047,2,Non core
21051,5,Non core
21059,1,Non core
21060,4,Non core
21061,2,Non core
21063,3,Non core
21065,2,Non core
21067,4,Non core
21069,17,Core
21071,1,Non core
21074,1,Non core
21075,3,Non core
21077,3,Non core
21092,2,Non core
21099,2,Non core
21103,6,Non core
21107,11,Non core
21108,1,Non core
21109,2,Non core
21111,12,Non core
21112,1,Non core
21113,9,Non core
21116,1,Non core
21118,1,Non core
21119,3,Non core
21125,2,Non core
21129,42,Core
21131,1,Non core
21133,1,Non core
21135,9,Non core
21138,3,Non core
21140,1,Non core
21141,3,Non core
21143,7,Non core
21144,2,Non core
21146,1,Non core
21151,15,Non core
21152,7,Non core
21154,1,Non core
21159,1,Non core
21168,1,Non core
21177,1,Non core
21179,1,Non core
21187,9,Non core
21193,1,Non core
21195,1,Non core
21198,1,Non core
21204,43,Non core
21211,40,Non core
21216,1,Non core
21217,1,Non core
21222,3,Non core
21224,19,Core
21226,1,Non core
21228,3,Non core
21230,2,Non core
21231,2,Non core
21232,4,Non core
21236,2,Non core
21239,42,Non core
21241,5,Non core
21242,47,Non core
21247,3,Non core
21249,3,Non core
21254,1,Non core
21258,1,Non core
21266,1,Non core
21272,2,Non core
21273,8,Non core
21274,1,Non core
21277,2,Non core
21279,5,Non core
21284,15,Non core
21286,1,Non core
21287,7,Non core
21288,2,Non core
21290,5,Non core
21297,14,Core
21302,13,Non core
21304,2,Non core
21306,1,Non core
21307,10,Non core
21309,2,Non core
21311,2,Non core
21314,27,Non core
21322,1,Non core
21325,1,Non core
21330,2,Non core
21334,5,Non core
21340,1,Non core
21342,4,Non core
21343,1,Non core
21355,5,Non core
21356,5,Non core
21361,10,Non core
21363,1,Non core
21369,10,Non core
21376,1,Non core
21381,2,Non core
21382,3,Non core
21387,40,Core
21399,1,Non core
21406,5,Non core
21407,4,Non core
21408,1,Non core
21413,2,Non core
21414,15,Core
21420,60,Core
21422,1,Non core
21423,7,Non core
21428,17,Core
21430,11,Non core
21434,1,Non core
21439,3,Non core
21446,1,Non core
21451,4,Non core
21462,2,Non core
21463,2,Non core
21465,5,Non core
21469,4,Non core
21470,8,Non core
21473,4,Non core
21479,8,Non core
21481,1,Non core
21484,1,Non core
21485,2,Non core
21486,264,Non core
21510,1,Non core
21511,65,Non core
21513,60,Non core
21514,7,Non core
21515,9,Non core
21516,7,Non core
21517,4,Non core
21518,2,Non core
21519,1,Non core
21522,13,Non core
21526,1,Non core
21528,9,Core
21530,1,Non core
21531,2,Non core
21537,19,Non core
21539,2,Non core
21547,1,Non core
21549,2,Non core
21550,9,Non core
21552,1,Non core
21556,8,Non core
21558,4,Non core
21561,4,Non core
21562,1,Non core
21570,6,Non core
21582,9,Non core
21583,5,Non core
21586,1,Non core
21591,10,Non core
21596,3,Non core
21598,3,Non core
21600,2,Non core
21609,1,Non core
21614,4,Non core
21618,2,Non core
21622,1,Non core
21625,1,Non core
21626,21,Core
21629,4,Non core
21633,1,Non core
21636,1,Non core
21641,2,Non core
21642,3,Non core
21644,7,Non core
21647,4,Non core
21648,10,Non core
21649,17,Non core
21656,1,Non core
21657,2,Non core
21660,5,Non core
21668,5,Non core
21670,1,Non core
21671,1,Core
21672,23,Core
21683,16,Non core
21685,1,Non core
21686,14,Non core
21690,42,Non core
21691,178,Non core
21692,21,Core
21694,1,Non core
21696,11,Non core
21697,2,Non core
21698,13,Non core
21712,1,Non core
21714,10,Non core
21715,1,Non core
21718,1,Non core
21719,1,Non core
21722,10,Non core
21723,20,Non core
21728,28,Non core
21736,1,Non core
21738,1,Non core
21739,3,Core
21740,10,Non core
21741,9,Core
21747,9,Non core
21748,3,Non core
21752,1,Non core
21757,12,Non core
21765,6,Non core
21767,3,Non core
21775,4,Non core
21778,3,Non core
21781,14,Core
21782,6,Non core
21784,3,Non core
21785,12,Core
21794,10,Non core
21797,69,Non core
21798,75,Non core
21800,8,Non core
21802,1,Non core
21803,2,Non core
21808,2,Non core
21810,2,Non core
21813,14,Non core
21817,1,Non core
21820,1,Non core
21821,1,Non core
21824,1,Non core
21829,2,Non core
21830,5,Non core
21832,2,Non core
21863,2,Non core
21865,4,Non core
21873,1,Non core
21875,1,Non core
21877,7,Non core
21883,24,Core
21884,6,Non core
21885,1,Non core
21888,1,Non core
21891,1,Non core
21892,1,Non core
21897,11,Non core
21902,14,Non core
21903,1,Non core
21904,2,Non core
21907,2,Non core
21908,6,Non core
21909,41,Non core
21914,4,Non core
21918,2,Non core
21921,1,Non core
21922,28,Non core
21923,1,Non core
21927,2,Non core
21930,3,Non core
21950,2,Non core
21961,24,Core
21967,3,Non core
21970,12,Core
21974,1,Non core
21976,2,Non core
21977,3,Non core
21980,1,Non core
21984,1,Non core
21987,2,Non core
21990,1,Non core
21991,6,Non core
21996,2,Core
21999,4,Non core
22001,1,Non core
22003,1,Non core
22010,3,Non core
22013,1,Non core
22016,2,Non core
22018,8,Non core
22019,4,Non core
22020,15,Non core
22021,3,Non core
22022,1,Non core
22023,2,Non core
22025,2,Non core
22026,1,Non core
22030,5,Non core
22036,1,Non core
22037,6,Non core
22040,2,Non core
22041,7,Non core
22042,26,Non core
22044,3,Non core
22047,2,Non core
22053,1,Non core
22056,36,Non core
22059,9,Non core
22060,1,Non core
22061,3,Non core
22064,4,Non core
22066,10,Non core
22072,4,Non core
22076,25,Core
22077,20,Non core
22078,9,Non core
22093,6,Non core
22100,1,Non core
22102,1,Non core
22103,3,Non core
22104,59,Non core
22111,11,Non core
22113,3,Non core
22116,2,Non core
22118,1,Non core
22124,1,Non core
22128,1,Non core
22132,13,Non core
22134,1,Non core
22136,10,Non core
22139,1,Non core
22141,7,Non core
22143,2,Non core
22148,1,Non core
22153,3,Non core
22157,7,Non core
22160,1,Non core
22165,280,Non core
22169,2,Non core
22170,1,Non core
22173,2,Non core
22180,1,Non core
22186,1,Non core
22195,1,Non core
22200,1,Non core
22206,1,Non core
22209,1,Non core
22210,6,Non core
22213,1,Non core
22214,4,Non core
22217,7,Non core
22218,16,Non core
22219,13,Non core
22220,15,Non core
22221,6,Non core
22223,5,Non core
22224,4,Non core
22226,13,Non core
22227,5,Non core
22233,1,Non core
22235,1,Non core
22236,1,Non core
22237,1,Non core
22251,4,Non core
22252,1,Non core
22254,1,Non core
22255,169,Non core
22259,14,Non core
22263,3,Non core
22266,9,Non core
22271,6,Non core
22272,1,Non core
22274,2,Non core
22281,2,Non core
22284,1,Non core
22290,5,Non core
22298,2,Non core
22299,10,Non core
22302,1,Non core
22305,1,Non core
22306,12,Non core
22307,2,Non core
22310,2,Non core
22312,2,Non core
22314,11,Non core
22315,5,Non core
22318,17,Non core
22321,2,Non core
22322,3,Non core
22323,5,Non core
22328,4,Non core
22329,1,Non core
22331,1,Non core
22338,2,Non core
22342,3,Non core
22344,1,Non core
22345,2,Non core
22368,4,Non core
22375,1,Non core
22377,1,Non core
22378,20,Non core
22380,5,Non core
22381,16,Non core
22405,55,Core
22406,70,Core
22416,1,Non core
22420,2,Non core
22421,2,Non core
22432,2,Non core
22435,7,Non core
22437,7,Non core
22440,3,Non core
22442,1,Non core
22443,1,Non core
22446,1,Non core
22448,13,Non core
22449,1,Non core
22450,2,Non core
22454,2,Non core
22457,1,Non core
22471,1,Non core
22477,17,Core
22482,1,Non core
22484,40,Core
22486,1,Non core
22487,3,Non core
22493,2,Non core
22495,2,Non core
22496,1,Non core
22498,1,Non core
22511,1,Non core
22514,9,Non core
22515,1,Non core
22521,1,Non core
