id,changes,status
21224,403,Core
16771,1174,Non core
30657,8,Non core
27302,49,Non core
9649,16,Non core
10311,442,Core
14232,475,Non core
13702,632,Core
30905,8,Non core
30081,7,Non core
5623,3085,Core
7069,1377,Core
11682,838,Core
17001,333,Core
22259,60,Non core
17126,15,Non core
27143,52,Non core
26560,1,Non core
7060,20,Non core
32535,1,Non core
2062,296,Core
28910,4,Non core
16374,8,Non core
866,1121,Core
1107,169,Core
6984,190,Core
17499,919,Non core
32201,6,Non core
32520,1,Non core
9312,523,Core
31930,1,Non core
22271,26,Non core
31652,1,Non core
29586,3,Non core
8068,71,Non core
22093,9,Non core
14051,3,Non core
31537,1,Non core
31353,5,Non core
31638,2,Non core
26561,148,Non core
9177,1,Non core
30409,8,Non core
10806,152,Non core
32245,1,Non core
17120,1169,Core
20699,4,Non core
30315,7,Non core
30348,1,Non core
9701,8,Non core
24645,29,Non core
30192,6,Non core
26340,434,Core
30490,11,Non core
21922,744,Non core
24330,78,Non core
10022,1743,Core
30458,2,Non core
31960,6,Non core
30638,2,Non core
32369,1,Non core
32370,1,Non core
30133,250,Non core
9963,116,Non core
31835,3,Non core
18736,6,Non core
14892,88,Non core
16984,158,Core
26310,42,Non core
8911,248,Core
16274,73,Core
23185,519,Core
30262,7,Non core
2903,3802,Core
32274,3,Non core
30100,361,Non core
9725,128,Non core
31528,17,Non core
30793,2,Non core
18742,78,Non core
29291,20,Non core
20451,6,Non core
11880,261,Non core
27815,5,Non core
29286,4,Non core
26106,24,Non core
8125,678,Core
30670,29,Non core
25397,2,Non core
19184,504,Core
22406,624,Core
29729,9,Non core
6633,15,Non core
24005,24,Non core
8873,1260,Non core
18795,1161,Non core
29954,30,Non core
29891,2,Non core
25905,1,Non core
32281,1,Non core
20754,27,Non core
33012,1,Non core
9979,58,Non core
24580,86,Non core
28869,12,Non core
26498,48,Non core
20970,540,Core
21863,4641,Non core
32343,1,Non core
16881,81,Non core
29220,19,Non core
32211,1,Non core
9995,130,Non core
30754,4,Non core
26689,4,Non core
30445,4,Non core
28606,16,Core
31643,12,Non core
30238,10,Non core
23518,29,Non core
30660,3,Non core
26768,20,Non core
28614,706,Non core
20284,578,Non core
25864,3,Non core
32224,1,Non core
19944,140,Non core
24604,124,Non core
22072,4,Non core
32428,1,Non core
32321,1,Non core
970,6147,Core
25900,54,Non core
25946,54,Non core
29139,6,Non core
28032,27,Non core
20523,250,Non core
30643,10,Non core
26365,31,Non core
29875,2,Non core
19956,24,Non core
9114,1,Non core
29217,7,Non core
31940,4,Non core
31534,1,Non core
