is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
False,False,openstackansible,openstackansible,2349.18,True
True,False,openstackansible,openstackansible,3070.43,True
True,False,kolla,kolla,0.03,True
True,False,ironic,ironic,19.73,True
True,False,openstackansible,openstackansible,0.11,True
True,False,neutron,neutron,26068.76,False
True,False,neutron,neutron,26353.79,False
True,False,openstackansible,openstackansible,2909.37,False
True,False,openstackansible,openstackansible,0.18,True
True,False,openstackansible,openstackansible,1.8,True
True,False,openstackansible,openstackansible,889.13,False
True,True,murano,tempest,0.12,True
False,False,neutron,neutron,995.85,False
False,True,,,2.09,True
False,True,,,2.15,True
False,True,,,1365.92,True
False,True,,,10730.56,False
False,True,,,2.12,True
False,True,,,2.06,True
True,False,skyline,skyline,54.5,True
True,False,designate,designate,0.03,True
True,True,puppetopenstack,tripleo,817.35,True
True,True,,openstackansible,94.6,False
True,True,qualityassurance,openstacksdk,77.22,False
True,False,tripleo,tripleo,0.27,True
True,False,tripleo,tripleo,667.6,True
True,False,neutron,neutron,13.12,False
True,False,neutron,neutron,0.97,True
True,True,kolla,ironic,3.39,True
True,False,openstackansible,openstackansible,3.4,False
True,True,nova,placement,0.07,True
True,True,puppetopenstack,tripleo,22467.94,True
True,True,horizon,heat,1614.83,True
True,False,kolla,kolla,1484.16,False
True,False,kolla,kolla,1484.15,False
True,False,kolla,kolla,1484.15,False
True,True,horizon,vitrage,1614.83,True
True,False,designate,designate,2.46,True
True,True,octavia,puppetopenstack,430.21,True
False,False,skyline,skyline,633.53,True
True,True,,glance,203.5,False
True,True,,,0.13,True
True,True,horizon,murano,1614.83,True
True,True,,,38.52,True
True,False,kolla,kolla,0.34,True
True,True,openstackansible,kollaansible,1995.34,True
True,True,qualityassurance,nova,16.63,True
True,True,qualityassurance,nova,46.92,True
True,False,skyline,skyline,168.17,True
True,False,openstackansible,openstackansible,1682.46,False
True,True,releasemanagement,,96.92,True
True,False,skyline,skyline,0.48,True
True,True,horizon,zun,1614.83,True
