is_cross,is_cross_service,lag
True,False,5.37
True,False,0.03
True,False,239.91
True,False,92.19
True,False,3674.65
True,False,938.79
True,False,1.1
True,False,1.14
True,True,5.01
False,False,5111.89
True,False,0.4
True,False,0.04
True,False,91.64
True,False,0.01
True,False,0.03
True,False,18.07
True,False,405.13
True,True,493.89
True,True,229.68
True,True,3336.88
True,False,3.11
True,False,2663.6
True,False,426.06
True,False,386.5
True,True,2012.28
True,True,5.67
True,False,529.11
True,False,305.51
True,False,1527.36
True,False,5479.21
True,True,191.87
True,False,20.3
True,True,4350.43
True,False,1849.96
True,True,7.11
True,True,26.12
True,False,5902.85
True,False,0.05
True,True,0.93
True,True,23.95
True,False,0.07
True,False,31.27
True,False,8.98
True,False,214.83
True,False,2782.4
True,True,0.0
True,True,358.93
True,True,310.53
True,True,2422.35
True,False,2354.55
False,False,43.25
True,False,1132.57
True,False,1987.11
True,False,7224.46
True,True,45.89
True,False,3206.23
True,True,292.1
True,False,0.05
True,False,162.39
True,False,16.02
True,False,17.65
True,False,24.79
True,False,3.64
True,False,452.04
True,False,8185.74
True,False,4.96
True,False,623.1
True,True,37273.78
True,False,5.74
True,True,284.47
True,True,0.13
True,False,434.88
True,True,0.03
True,False,1722.6
True,True,673.11
True,False,657.34
True,True,355.71
True,True,71.62
True,True,347.03
True,False,0.62
True,False,2.3
True,False,62.48
True,False,404.22
True,False,24.47
True,False,3340.26
True,False,1.12
True,True,29690.81
False,False,4.53
True,True,2038.46
True,True,63.66
True,False,342.92
True,True,15.2
True,False,4910.52
False,False,667.8
True,False,0.07
True,True,165.23
True,True,1.8
True,True,4361.4
True,False,165.48
True,False,6064.52
True,True,1909.2
True,True,0.0
True,False,3586.12
True,True,7.48
True,True,4516.42
True,True,1.18
True,False,116.6
True,True,1668.84
True,False,1007.26
False,False,2550.41
True,False,148.73
True,False,15127.22
True,False,10543.35
True,True,0.08
True,False,1405.36
True,False,8751.25
True,False,3677.27
True,False,4588.32
True,False,3417.38
True,True,0.06
True,False,2422.18
True,False,2.26
True,False,1511.18
True,False,1176.01
False,False,14.87
True,True,76.37
True,False,0.17
True,False,4.39
True,True,1.64
True,False,3139.0
True,False,0.02
True,False,1325.44
True,True,7392.54
True,False,400.42
True,False,0.23
True,True,3381.25
True,True,6000.2
True,False,2662.86
True,True,192.66
True,True,37.25
True,False,273.44
True,True,0.02
True,True,146.09
True,False,11.04
True,False,0.15
True,True,16.21
True,False,0.03
True,False,66.82
True,False,51.76
True,False,477.64
True,False,0.01
True,False,9680.96
True,False,0.4
True,True,4705.86
False,False,1802.45
True,False,144.07
True,True,0.01
True,False,430.18
True,False,18640.88
True,False,10318.79
True,False,70.45
True,False,54.31
True,False,26.0
True,False,286.12
True,False,1323.77
True,False,1632.63
True,True,817.57
True,False,2124.18
False,False,80.64
True,True,134.79
True,False,143.01
True,False,17.64
True,False,12512.23
True,False,2139.7
True,False,2.66
True,False,115.97
True,False,403.07
True,True,909.4
True,False,0.0
True,False,178.13
True,False,94.75
True,False,46.12
True,True,0.01
True,True,3729.57
True,False,0.04
True,True,0.07
True,True,0.13
True,True,4381.44
True,True,213.67
True,True,11.9
True,False,84.13
True,True,664.71
True,True,0.18
True,True,0.06
True,False,0.19
True,True,0.03
False,False,5305.66
True,True,2007.55
True,True,820.43
True,True,2534.7
True,False,2.98
False,False,1.17
True,True,1475.95
True,False,6.34
True,False,255.12
True,True,0.91
True,True,880.73
True,False,26.29
True,False,8231.04
True,True,461.95
True,False,1297.82
True,True,198.39
True,False,11272.31
True,True,3306.65
True,True,0.01
True,True,824.14
False,False,19.51
True,True,956.73
True,False,1564.37
True,False,1175.3
True,False,151.67
True,True,3862.49
True,False,1317.81
True,False,14595.65
True,True,122.64
True,True,0.11
True,True,432.79
True,False,4462.77
True,True,0.04
True,False,644.32
True,True,2186.37
False,False,14473.55
True,False,195.38
True,True,0.0
True,True,24.08
True,False,0.19
True,False,0.07
True,False,2.55
True,True,0.69
True,True,1.28
True,False,1.37
True,True,2.53
True,True,3.52
True,False,165.33
True,False,13.21
True,False,648.91
True,False,4221.42
True,True,0.05
True,True,0.0
True,True,120.82
True,True,885.53
True,True,506.67
True,False,675.88
True,False,3.68
True,False,977.7
True,True,166.83
True,True,3070.74
True,True,0.1
True,False,1.22
False,False,1460.49
True,False,1033.74
True,False,0.17
False,False,663.76
True,True,0.47
True,False,1478.16
True,True,144.36
True,True,71.44
True,True,0.41
False,False,188.72
True,False,575.83
True,False,0.03
True,True,171.15
True,False,407.88
True,False,1266.84
True,True,19.28
True,False,0.78
True,False,191.46
True,False,17654.09
True,False,1491.69
True,False,27.28
True,False,140.93
True,True,885.76
True,True,90.5
True,True,1295.09
True,False,0.72
True,False,0.07
True,False,144.02
True,False,3265.96
True,True,240.95
True,True,11150.14
True,False,889.32
True,True,2341.58
True,False,313.06
True,True,162.57
True,True,163.43
True,False,0.01
True,True,17.21
True,True,0.01
True,False,272.17
True,False,0.91
True,False,1611.32
True,False,0.2
True,False,1563.14
True,False,6621.4
True,False,1656.49
True,False,0.19
True,True,28.6
True,True,5.94
True,True,15159.56
False,False,20.3
True,False,0.38
True,False,4.42
True,True,0.18
True,False,120.94
True,True,0.28
True,False,336.63
True,False,1168.48
True,False,5955.12
True,True,120.98
True,True,1.46
True,True,0.26
True,False,21.96
True,False,595.11
True,False,1353.12
True,False,97.44
True,True,170.73
True,False,0.18
True,False,19.64
True,False,18.72
True,False,16.81
True,False,26.92
True,False,0.25
True,False,0.01
True,False,1178.01
True,False,80.79
True,False,1094.68
True,True,26.76
True,False,6210.11
True,True,2278.14
True,False,3408.58
True,True,675.01
True,False,0.97
True,False,192.22
False,False,0.4
True,False,4575.58
True,False,4965.01
True,False,10740.19
True,False,145.32
True,False,315.8
True,False,0.47
True,False,0.9
True,False,0.05
True,False,0.12
True,False,453.84
True,False,12.82
True,True,864.32
True,False,0.94
False,False,25564.25
True,False,2482.77
True,False,0.18
True,False,2.2
True,True,2.01
True,True,23257.55
True,False,653.66
True,True,160.47
True,True,15171.15
