index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
52,688201,690389,tripleo-common,python-tripleoclient,True,Related-Bug,Upgrade library,"Fix a bug by upgrading the version of a library (""tripleo-common"") version from ""10.7.0"" to ""11.3.1"" which underwent a large amount of code changes"
53,782611,792166,tripleo-heat-templates,tripleo-ansible,True,Related-Bug,Add configuration,"Add two new config parameters related to disk device infos (""CephHciOsdCount"" and ""CephHciOsdType"") and makes use of them in the other project due to deployment failures."
54,522526,522735,openstack-ansible,openstack-ansible-os_nova,True,Deps-Need,Code enhancements,"Implement a business logic around ""nova-novncproxy"" and ""nova-spicehtml5proxy"" services, such as adding control statements..."
55,121318,123979,swift,rally,False,Related-Bug,Remove library,Fixing a bug by removing an extension decalaration which lead to failures when building external links to other projects' documentation
56,555897,555900,project-config,governance,True,Deps-Need,Add library info to OS projects,"Add information about a newly introduced OpenStack project (""kolla-cli"") such as project name, repo location...etc."
57,512827,516490,puppet-heat,puppet-openstack-integration,False,Depends-On,Unknown,Unknown
58,121294,121309,glance-specs,python-glanceclient,True,Related-Bug,Remove library,Fixing a bug by removing an extension decalaration which lead to failures when building external links to other projects' documentation
59,513091,513112,openstack-ansible-tests,openstack-ansible-os_cloudkitty,True,Depends-On,Add configuration,"Create a new configuration job (""openstack-ansible-linters"") and make use of it in the 2nd project"
60,536579,537262,os-net-config,tripleo-heat-templates,False,Related-Bug,Remove configuration,"Remove two job decalarations (""tripleo-ovb-check"" and ""tripleo-ovb-experimental"") from the config file"
61,71981,71983,cliff,taskflow,True,Change-Id,Renaming,"Update .gitreview after repo prefix rename from ""stackforge/"" to ""openstack/"""
62,777002,786159,tripleo-heat-templates,tripleo-ansible,False,Related-Bug,Unknown,Unknown
63,745678,745683,diskimage-builder,octavia,True,Depends-On,Add configuration,"Add a config key-value pair (""build-only"") to a set of packages such as ""git"" and ""amphora-agent""."
64,233294,233297,murano,murano-apps,True,Depends-On,Add configuration,"Create a new config-related feature (""isDeployed"") and make use of it in control statements in the 2nd project."
65,640897,641159,tripleo-heat-templates,tripleo-ci,True,Depends-On,Add configuration,"Add two config-related key-value pairs (""overcloud_container_cli"" and ""ContainerCli"") which are both assigned to ""docker"" value."
66,814535,814560,openstack-ansible-os_tempest,openstack-ansible,False,Depends-On,Unknown,Unknown
