Source,Target,Source_repo,Target_repo
857933,859238,openstack/manila-tempest-plugin,openstack/manila
861858,768162,openstack/openstack-ansible,openstack/openstack-ansible-os_barbican
863076,863077,openstack/governance,openstack/requirements
861886,863076,openstack/openstack-ansible,openstack/governance
863085,863087,openstack/openstack-ansible-rsyslog_client,openstack/project-config
863086,863087,openstack/openstack-ansible-rsyslog_server,openstack/project-config
863079,863086,openstack/project-config,openstack/openstack-ansible-rsyslog_server
863079,863085,openstack/project-config,openstack/openstack-ansible-rsyslog_client
861110,862810,openstack/tempest,openstack/kuryr
861110,862805,openstack/tempest,openstack/freezer
861110,862803,openstack/tempest,openstack/designate
861110,862812,openstack/tempest,openstack/magnum
861110,862816,openstack/tempest,openstack/masakari
861110,862820,openstack/tempest,openstack/masakari-monitors
861110,862814,openstack/tempest,openstack/murano
343980,344671,openstack/manila,openstack/python-manilaclient
843836,849602,openstack/tripleo-ci,openstack/tripleo-ansible
862104,847966,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible
843836,862771,openstack/tripleo-ci,openstack/tripleo-quickstart
843836,862770,openstack/tripleo-ci,openstack/tripleo-quickstart-extras
840509,843836,openstack/tripleo-ansible,openstack/tripleo-ci
862160,843836,openstack/tripleo-quickstart-extras,openstack/tripleo-ci
861748,843836,openstack/tripleo-quickstart,openstack/tripleo-ci
852796,852688,openstack/charm-ops-sunbeam,openstack/charm-glance-k8s
861940,862132,openstack/kolla,openstack/kolla-ansible
862233,862104,openstack/openstack-ansible-tests,openstack/openstack-ansible-rabbitmq_server
750782,862757,openstack/cinder,openstack/cinder-tempest-plugin
860230,860229,openstack/kolla,openstack/kolla-ansible
861110,862811,openstack/tempest,openstack/kuryr-libnetwork
861110,862801,openstack/tempest,openstack/cloudkitty
861110,862802,openstack/tempest,openstack/cyborg
854293,853749,openstack/openstacksdk,openstack/ansible-collections-openstack
853829,843356,openstack/telemetry-tempest-plugin,openstack/aodh
854807,843356,openstack/devstack,openstack/aodh
859950,834220,openstack/manila,openstack/manila-tempest-plugin
854612,854557,openstack/openstacksdk,openstack/python-openstackclient
862220,862470,openstack/skyline-apiserver,openstack/skyline-console
857933,859237,openstack/manila-tempest-plugin,openstack/manila
857933,859236,openstack/manila-tempest-plugin,openstack/manila
862564,849522,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible-os_mistral
842437,853733,openstack/tripleo-ansible,openstack/tripleo-heat-templates
817462,817459,openstack/neutron,openstack/neutron-lib
852839,858493,openstack/openstack-tempest-skiplist,openstack/tripleo-heat-templates
852845,858493,openstack/tripleo-quickstart,openstack/tripleo-heat-templates
859999,842437,openstack/tripleo-heat-templates,openstack/tripleo-ansible
862484,862487,openstack/charm-ops-sunbeam,openstack/charm-neutron-k8s
849024,849844,openstack/tripleo-ansible,openstack/tripleo-heat-templates
861584,861758,openstack/tripleo-quickstart-extras,openstack/tripleo-quickstart
861354,861758,openstack/python-tripleoclient,openstack/tripleo-quickstart
861175,861758,openstack/tripleo-heat-templates,openstack/tripleo-quickstart
862256,861758,openstack/openstack-ansible-os_tempest,openstack/tripleo-quickstart
852068,855837,openstack/tripleo-ci,openstack/tripleo-common
861794,861858,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible
861849,861858,openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible
853029,861729,openstack/openstack-ansible,openstack/openstack-ansible-rabbitmq_server
862173,861849,openstack/openstack-ansible-tests,openstack/openstack-ansible-lxc_hosts
853029,861788,openstack/openstack-ansible,openstack/openstack-ansible-tests
861730,853029,openstack/openstack-ansible-os_rally,openstack/openstack-ansible
862143,853029,openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible
862145,862260,openstack/charm-ops-sunbeam,openstack/charm-neutron-k8s
862233,862234,openstack/openstack-ansible-tests,openstack/openstack-ansible-lxc_hosts
862104,862234,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible-lxc_hosts
861794,861855,openstack/openstack-ansible-rabbitmq_server,openstack/openstack-ansible-tests
861885,860959,openstack/charm-ops-sunbeam,openstack/charm-glance-k8s
861836,861511,openstack/kuryr-kubernetes,openstack/kuryr-tempest-plugin
840144,855842,openstack/diskimage-builder,openstack/tripleo-image-elements
839829,855841,openstack/diskimage-builder,openstack/tripleo-image-elements
