Duration,Reviewer_sharing,Project_type
26.63,At least one,Source
195.86,At least one,Source
26.63,At least one,Source
160.66,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
16.47,At least one,Source
26.63,At least one,Source
16.47,At least one,Source
26.63,At least one,Source
1148.59,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
143.66,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
26.63,At least one,Source
192.41,At least one,Source
143.66,At least one,Source
143.66,At least one,Source
143.66,At least one,Source
143.66,At least one,Source
198.81,At least one,Source
206.21,At least one,Source
662.34,At least one,Source
637.96,At least one,Source
538.54,At least one,Source
60.75,At least one,Source
355.84,At least one,Source
13.9,At least one,Source
18.5,At least one,Source
