Path,length,service_length
"['openstack/requirements', 'openstack/ironic', 'openstack/ironic', 'openstack/ironic', 'openstack/ironic']",2,2
"['openstack/sushy-oem-idrac', 'openstack/sushy']",2,2
"['openstack/cinder', 'openstack/nova', 'openstack/devstack-plugin-nfs', 'openstack/cinder']",3,3
"['openstack/tripleo-ci', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/glance', 'openstack/tempest', 'openstack/glance', 'openstack/glance']",2,2
"['openstack/python-openstackclient', 'openstack/tempest', 'openstack/python-novaclient', 'openstack/nova', 'openstack/python-openstackclient']",4,3
"['openstack/designate', 'openstack/tempest']",2,2
"['openstack/tempest', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/nova', 'openstack/python-novaclient', 'openstack/python-novaclient', 'openstack/python-novaclient', 'openstack/python-novaclient', 'openstack/tempest']",3,2
"['openstack/tempest', 'openstack/devstack', 'openstack/tempest', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack']",2,2
"['openstack/tempest', 'openstack/nova', 'openstack/nova', 'openstack/cinder', 'openstack/os-brick', 'openstack/nova', 'openstack/devstack-plugin-open-cas']",5,4
"['openstack/tempest', 'openstack/tempest', 'openstack/tempest', 'openstack/devstack', 'openstack/devstack', 'openstack/cinder']",3,3
"['openstack/tempest', 'openstack/nova']",2,2
"['openstack/tempest', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/nova']",3,3
"['openstack/tempest', 'openstack/nova', 'openstack/nova', 'openstack/tempest']",2,2
"['openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron-tempest-plugin', 'openstack/devstack', 'openstack/devstack']",3,2
"['openstack/neutron', 'openstack/nova', 'openstack/requirements']",3,3
"['openstack/horizon', 'openstack/requirements']",2,2
"['openstack/tempest', 'openstack/nova', 'openstack/os-brick', 'openstack/nova']",3,3
"['openstack/devstack', 'openstack/devstack', 'openstack/nova', 'openstack/glance', 'openstack/glance', 'openstack/devstack-plugin-ceph']",4,3
"['openstack/horizon', 'openstack/puppet-horizon']",2,2
"['openstack/kuryr-tempest-plugin', 'openstack/neutron', 'openstack/neutron']",2,2
"['openstack/magnum-ui', 'openstack/horizon']",2,2
"['openstack/manila', 'openstack/manila', 'openstack/manila', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/devstack', 'openstack/keystone', 'openstack/glance', 'openstack/designate', 'openstack/glance', 'openstack/manila', 'openstack/manila', 'openstack/manila-tempest-plugin', 'openstack/manila', 'openstack/devstack', 'openstack/devstack', 'openstack/neutron', 'openstack/glance', 'openstack/manila', 'openstack/devstack']",7,6
"['openstack/networking-baremetal', 'openstack/requirements']",2,2
"['openstack/octavia-dashboard', 'openstack/horizon', 'openstack/requirements']",3,3
