Path,length,length_service
['openstack/kuryr-kubernetes' 'openstack/ovn-octavia-provider'],2,2
['openstack/openstack-zuul-jobs' 'openstack/governance'],2,2
['openstack/networking-bgpvpn' 'openstack/neutron'],2,1
['openstack/governance' 'openstack/project-config'],2,2
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/manila-tempest-plugin' 'openstack/manila'],2,1
['openstack/kayobe' 'openstack/ansible-collection-kolla'],2,1
['openstack/project-config' 'openstack/oslo.concurrency'],2,2
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/tripleo-quickstart' 'openstack/openstack-tempest-skiplist'],2,2
['openstack/openstacksdk' 'openstack/bifrost'],2,2
['openstack/nova' 'openstack/tempest' 'openstack/glance'],3,3
"['openstack/charm-horizon-k8s' 'openstack/charm-nova-k8s'
 'openstack/charm-cinder-k8s' 'openstack/charm-placement-k8s'
 'openstack/charm-neutron-k8s' 'openstack/charm-keystone-k8s'
 'openstack/charm-glance-k8s' 'openstack/charm-ops-sunbeam']",8,8
"['openstack/neutron-specs' 'openstack/neutron-tempest-plugin'
 'openstack/networking-bagpipe' 'openstack/networking-sfc'
 'openstack/neutron-fwaas' 'openstack/networking-bgpvpn']",6,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/tripleo-heat-templates' 'openstack/puppet-tripleo'],2,1
['openstack/openstack-ansible-os_ironic' 'openstack/openstack-ansible'],2,1
"['openstack/tripleo-ci' 'openstack/tripleo-heat-templates'
 'openstack/python-tripleoclient' 'openstack/puppet-neutron'
 'openstack/neutron']",5,3
['openstack/magnum-tempest-plugin' 'openstack/magnum'],2,1
['openstack/election' 'openstack/governance'],2,2
['openstack/charm-ceph-osd' 'openstack/charms.ceph'],2,1
['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'],2,1
['openstack/election' 'openstack/releases'],2,2
['openstack/charm-ceph-mon' 'openstack/charms.ceph'],2,1
['openstack/charm-ceph-mon' 'openstack/charms.ceph'],2,1
['openstack/octavia' 'openstack/octavia-tempest-plugin'],2,1
"['openstack/tripleo-ci' 'openstack/openstack-tempest-skiplist'
 'openstack/tempest']",3,2
['openstack/manila-tempest-plugin' 'openstack/manila'],2,1
"['openstack/python-tripleoclient' 'openstack/tripleo-common'
 'openstack/tripleo-validations' 'openstack/openstack-ansible-os_tempest'
 'openstack/ansible-role-python_venv_build'
 'openstack/ansible-config_template' 'openstack/tripleo-ci'
 'openstack/tripleo-ansible']",8,3
['openstack/tripleo-ci' 'openstack/tripleo-quickstart-extras'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-ci'],2,1
"['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart-extras'
 'openstack/tripleo-common']",3,1
"['openstack/tripleo-quickstart' 'openstack/tripleo-common'
 'openstack/tripleo-ci']",3,1
"['openstack/tripleo-quickstart-extras' 'openstack/puppet-ironic'
 'openstack/tripleo-quickstart']",3,2
['openstack/tripleo-heat-templates' 'openstack/tripleo-quickstart'],2,1
['openstack/tripleo-ci' 'openstack/tripleo-quickstart'],2,1
['openstack/sahara' 'openstack/python-saharaclient'],2,1
"['openstack/charm-neutron-k8s' 'openstack/charm-glance-k8s'
 'openstack/charm-placement-k8s' 'openstack/charm-horizon-k8s'
 'openstack/charm-nova-k8s' 'openstack/charm-cinder-k8s'
 'openstack/charm-keystone-k8s' 'openstack/charm-ops-sunbeam']",8,8
"['openstack/tripleo-ansible' 'openstack/tripleo-heat-templates'
 'openstack/python-tripleoclient']",3,1
"['openstack/ldappool' 'openstack/os-resource-classes' 'openstack/taskflow'
 'openstack/os-testr' 'openstack/yaql' 'openstack/os-service-types'
 'openstack/oslotest' 'openstack/openstack-doc-tools' 'openstack/tooz'
 'openstack/sphinx-feature-classification' 'openstack/openstackclient'
 'openstack/os-traits' 'openstack/debtcollector'
 'openstack/oslo.concurrency' 'openstack/osprofiler'
 'openstack/oslo.reports' 'openstack/oslo.log' 'openstack/futurist'
 'openstack/oslo.i18n' 'openstack/whereto' 'openstack/os-api-ref'
 'openstack/os-client-config' 'openstack/oslo.rootwrap' 'openstack/shade'
 'openstack/reno' 'openstack/hacking' 'openstack/openstack-zuul-jobs']",27,10
"['openstack/tripleo-common' 'openstack/tripleo-ci'
 'openstack/tripleo-quickstart' 'openstack/diskimage-builder']",4,2
"['openstack/ironic' 'openstack/placement' 'openstack/requirements'
 'openstack/designate' 'openstack/manila' 'openstack/aodh'
 'openstack/heat']",7,7
['openstack/neutron' 'openstack/devstack'],2,2
['openstack/neutron' 'openstack/neutron-tempest-plugin'],2,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ci'],2,1
['openstack/tripleo-validations' 'openstack/validations-common'],2,1
['openstack/tripleo-quickstart-extras' 'openstack/tripleo-heat-templates'],2,1
['openstack/puppet-tripleo' 'openstack/tooz' 'openstack/etcd3gw'],3,2
"['openstack/python-openstackclient' 'openstack/python-novaclient'
 'openstack/nova']",3,2
['openstack/requirements' 'openstack/ironic'],2,2
['openstack/sushy-oem-idrac' 'openstack/sushy'],2,2
['openstack/nova' 'openstack/os-traits'],2,1
['openstack/cinder' 'openstack/nova' 'openstack/devstack-plugin-nfs'],3,3
['openstack/python-manilaclient' 'openstack/manila'],2,1
['openstack/glance-tempest-plugin' 'openstack/glance'],2,1
