owner_account_id,service,dev_status
8997,1,Non core
9000,2,Non core
9003,8,Core
9013,1,Non core
9014,2,Non core
9029,2,Non core
9030,1,Non core
9031,1,Core
9032,1,Non core
9037,2,Non core
9041,1,Non core
9043,1,Non core
9044,3,Non core
9046,2,Non core
9048,3,Non core
9051,7,Non core
9057,3,Non core
9060,3,Non core
9061,13,Non core
9062,1,Non core
9064,5,Non core
9066,2,Non core
9067,2,Non core
9068,1,Non core
9069,2,Non core
9073,1,Non core
9076,2,Core
9077,1,Non core
9086,1,Non core
9089,1,Non core
9090,2,Non core
9093,2,Non core
9094,1,Non core
9095,2,Core
9096,5,Non core
9098,9,Core
9100,4,Non core
9101,5,Non core
9107,21,Non core
9113,1,Non core
9122,2,Non core
9124,1,Non core
9126,9,Non core
9129,1,Non core
9130,1,Non core
9139,1,Non core
9142,5,Non core
9143,1,Non core
9146,2,Non core
9152,4,Non core
9155,1,Non core
9166,3,Non core
9171,5,Core
9172,5,Non core
9173,2,Non core
9174,1,Non core
9176,7,Non core
9178,4,Non core
9180,5,Non core
9186,4,Non core
9188,1,Non core
9189,3,Non core
9190,1,Non core
9191,2,Non core
9194,2,Non core
9200,8,Core
9204,3,Non core
9205,1,Core
9207,2,Non core
9209,1,Non core
9212,1,Non core
9214,7,Non core
9215,2,Non core
9216,1,Non core
9218,6,Non core
9219,3,Non core
9223,2,Non core
9225,3,Non core
9234,5,Non core
9236,7,Core
9237,6,Core
9247,6,Non core
9257,7,Non core
9268,10,Non core
9275,5,Non core
9276,4,Core
9285,3,Non core
9293,2,Non core
9297,2,Non core
9300,3,Non core
9301,2,Non core
9303,16,Core
9311,14,Core
9312,3,Core
9313,2,Non core
9315,4,Non core
9317,8,Core
9323,19,Core
9327,1,Non core
9331,3,Non core
9335,9,Non core
9337,4,Non core
9347,1,Non core
9349,4,Non core
9352,2,Non core
9361,2,Non core
9364,2,Non core
9366,3,Non core
9369,15,Core
9373,12,Non core
9375,1,Non core
9377,5,Non core
9380,1,Non core
9382,13,Core
9387,1,Core
9392,1,Non core
9396,3,Non core
9397,4,Non core
9407,17,Non core
9408,3,Non core
9409,3,Non core
9410,4,Non core
9412,3,Non core
9414,43,Non core
9415,1,Non core
9416,1,Non core
9420,5,Non core
9423,4,Non core
9426,8,Non core
9429,1,Non core
9431,1,Non core
9432,2,Non core
9444,1,Non core
9446,1,Non core
9449,3,Non core
9450,6,Non core
9452,3,Non core
9453,4,Non core
9459,7,Non core
9461,1,Non core
9479,1,Non core
9480,1,Non core
9483,1,Non core
9485,1,Non core
9488,2,Non core
9492,1,Non core
9493,2,Non core
9498,5,Core
9499,1,Non core
9500,10,Core
9514,1,Non core
9515,4,Non core
9516,2,Non core
9520,1,Non core
9521,4,Non core
9526,3,Non core
9531,7,Core
9532,1,Non core
9533,4,Non core
9535,12,Core
9536,16,Non core
9537,7,Core
9542,28,Core
9545,26,Core
9546,1,Non core
9548,6,Core
9550,7,Non core
9551,5,Non core
9552,4,Non core
9554,1,Non core
9555,9,Non core
9556,1,Non core
9560,12,Non core
9562,10,Core
9565,3,Non core
9569,8,Non core
9572,2,Non core
9576,3,Core
9577,2,Non core
9581,8,Non core
9587,1,Non core
9588,1,Non core
9589,1,Non core
9591,2,Core
9592,10,Non core
9596,2,Non core
9601,1,Non core
9605,1,Non core
9608,3,Core
9610,2,Non core
9622,2,Non core
9623,1,Non core
9624,4,Non core
9625,7,Core
9626,1,Non core
9631,9,Non core
9642,5,Non core
9645,5,Non core
9647,2,Non core
9648,2,Core
9649,4,Non core
9656,29,Non core
9657,1,Non core
9658,1,Non core
9659,1,Non core
9662,2,Non core
9664,7,Non core
9680,1,Non core
